# pofo simdata v1
# id: USEQ-USD
# name: US equity total return (USD, monthly)
# source: Ken French US market (F-F_Research_Data_Factors, Mkt-RF+RF, 1926-07->), CRSP total US market. Proxy behind VFINX.
1956-09-01,1407.438261
1956-10-01,1418.275535
1956-11-01,1426.076051
1956-12-01,1474.562637
1957-01-01,1425.902070
1957-02-01,1399.808062
1957-03-01,1432.843532
1957-04-01,1497.464775
1957-05-01,1553.170465
1957-06-01,1545.249296
1957-07-01,1560.083689
1957-08-01,1484.107613
1957-09-01,1399.068247
1957-10-01,1342.685797
1957-11-01,1377.461359
1957-12-01,1327.046273
1958-01-01,1392.469654
1958-02-01,1372.835832
1958-03-01,1418.963116
1958-04-01,1463.944247
1958-05-01,1499.518092
1958-06-01,1543.903828
1958-07-01,1612.761938
1958-08-01,1644.049520
1958-09-01,1723.785922
1958-10-01,1770.500520
1958-11-01,1825.740136
1958-12-01,1923.964956
1959-01-01,1941.665433
1959-02-01,1963.800419
1959-03-01,1973.619421
1959-04-01,2049.801131
1959-05-01,2089.772253
1959-06-01,2089.772253
1959-07-01,2161.451441
1959-08-01,2135.730169
1959-09-01,2039.622312
1959-10-01,2071.848344
1959-11-01,2110.384723
1959-12-01,2169.475495
1960-01-01,2025.205375
1960-02-01,2054.570853
1960-03-01,2028.272346
1960-04-01,1997.442606
1960-05-01,2065.155911
1960-06-01,2113.067528
1960-07-01,2065.734815
1960-08-01,2131.218609
1960-09-01,2006.755442
1960-10-01,1996.922340
1960-11-01,2093.173997
1960-12-01,2195.530206
1961-01-01,2335.824586
1961-02-01,2422.483678
1961-03-01,2497.338424
1961-04-01,2508.826180
1961-05-01,2573.553896
1961-06-01,2499.435544
1961-07-01,2574.668554
1961-08-01,2644.442071
1961-09-01,2592.082118
1961-10-01,2663.882793
1961-11-01,2786.421402
1961-12-01,2786.978686
1962-01-01,2685.811359
1962-02-01,2739.796168
1962-03-01,2726.645146
1962-04-01,2552.957850
1962-05-01,2337.998799
1962-06-01,2143.944899
1962-07-01,2284.158895
1962-08-01,2338.065045
1962-09-01,2220.927987
1962-10-01,2225.591935
1962-11-01,2472.410081
1962-12-01,2503.067966
1963-01-01,2632.977193
1963-02-01,2575.841588
1963-03-01,2661.101945
1963-04-01,2787.770398
1963-05-01,2843.525805
1963-06-01,2793.195399
1963-07-01,2789.843564
1963-08-01,2938.542226
1963-09-01,2900.341177
1963-10-01,2982.420833
1963-11-01,2964.824550
1963-12-01,3027.678830
1964-01-01,3104.581872
1964-02-01,3160.774804
1964-03-01,3215.140131
1964-04-01,3227.679177
1964-05-01,3281.581420
1964-06-01,3333.102248
1964-07-01,3401.097534
1964-08-01,3361.644802
1964-09-01,3461.485653
1964-10-01,3492.292875
1964-11-01,3502.071295
1964-12-01,3514.328545
1965-01-01,3648.575895
1965-02-01,3675.575357
1965-03-01,3639.554719
1965-04-01,3764.027490
1965-05-01,3746.336561
1965-06-01,3553.025594
1965-07-01,3615.203542
1965-08-01,3725.828770
1965-09-01,3843.937542
1965-10-01,3955.796125
1965-11-01,3968.454673
1965-12-01,4021.631965
1966-01-01,4065.869917
1966-02-01,4030.903436
1966-03-01,3945.045192
1966-04-01,4042.487809
1966-05-01,3829.852950
1966-06-01,3789.256509
1966-07-01,3740.754025
1966-08-01,3459.075247
1966-09-01,3436.245351
1966-10-01,3584.347525
1966-11-01,3648.148911
1966-12-01,3667.484100
1967-01-01,3982.154236
1967-02-01,4027.152579
1967-03-01,4203.541862
1967-04-01,4380.510974
1967-05-01,4205.728586
1967-06-01,4318.862685
1967-07-01,4530.486957
1967-08-01,4503.757084
1967-09-01,4657.785576
1967-10-01,4532.491144
1967-11-01,4565.578330
1967-12-01,4719.894877
1968-01-01,4548.562693
1968-02-01,4396.185843
1968-03-01,4422.123339
1968-04-01,4840.013995
1968-05-01,4972.146377
1968-06-01,5028.331631
1968-07-01,4917.205502
1968-08-01,5004.240039
1968-09-01,5228.429993
1968-10-01,5273.917334
1968-11-01,5582.441498
1968-12-01,5387.056046
1969-01-01,5348.269242
1969-02-01,5059.462703
1969-03-01,5217.317939
1969-04-01,5321.142566
1969-05-01,5341.895022
1969-06-01,4985.056435
1969-07-01,4662.523284
1969-08-01,4904.508242
1969-09-01,4789.252298
1969-10-01,5060.323978
1969-11-01,4894.345352
1969-12-01,4796.947879
1970-01-01,4437.176788
1970-02-01,4692.758171
1970-03-01,4669.763656
1970-04-01,4179.905449
1970-05-01,3913.645472
1970-06-01,3709.353178
1970-07-01,3985.329055
1970-08-01,4185.791106
1970-09-01,4383.360446
1970-10-01,4304.021622
1970-11-01,4522.665921
1970-12-01,4801.262141
1971-01-01,5051.407899
1971-02-01,5139.302396
1971-03-01,5366.459562
1971-04-01,5550.529125
1971-05-01,5345.159548
1971-06-01,5360.125994
1971-07-01,5140.896841
1971-08-01,5359.899047
1971-09-01,5333.635541
1971-10-01,5117.623302
1971-11-01,5113.017441
1971-12-01,5577.279424
1972-01-01,5731.212337
1972-02-01,5910.026162
1972-03-01,5962.625394
1972-04-01,5997.208622
1972-05-01,6092.564239
1972-06-01,5962.183364
1972-07-01,5932.968666
1972-08-01,6144.182350
1972-09-01,6095.028891
1972-10-01,6151.103157
1972-11-01,6456.812984
1972-12-01,6520.735432
1973-01-01,6336.198620
1973-02-01,6055.505021
1973-03-01,6004.638779
1973-04-01,5694.799418
1973-05-01,5554.707352
1973-06-01,5495.827454
1973-07-01,5807.990453
1973-08-01,5626.781151
1973-09-01,5931.752690
1973-10-01,5921.075535
1973-11-01,5197.520105
1973-12-01,5261.449602
1974-01-01,5286.178415
1974-02-01,5292.521829
1974-03-01,5172.910836
1974-04-01,4938.577975
1974-05-01,4743.504145
1974-06-01,4637.249652
1974-07-01,4295.948078
1974-08-01,3918.334242
1974-09-01,3488.101142
1974-10-01,4067.823552
1974-11-01,3905.517392
1974-12-01,3798.506215
1975-01-01,4339.793351
1975-02-01,4599.746973
1975-03-01,4740.959205
1975-04-01,4961.887904
1975-05-01,5241.738382
1975-06-01,5518.502168
